v1,v2,P 1->2,P 1<-2,pcor,cor
Dist,Exh,0.717,0.517,0.074,-0.987
FedUp,Exh,0,0,0.716,1
FedUp,Dist,0.871,0.95,-0.017,-0.988
DiffKids,Exh,0.274,0.029,-0.24,1
DiffKids,Dist,0.472,0.86,0.063,-0.988
DiffKids,FedUp,0,0,0.666,1
PosMoKids,Exh,0.873,0.465,0.074,0.989
PosMoKids,Dist,0,0,-0.939,-0.999
PosMoKids,FedUp,0.89,0.925,-0.018,0.989
PosMoKids,DiffKids,0.176,0.222,0.183,0.99
AngKids,Exh,0.837,0.626,-0.05,0.998
AngKids,Dist,0.699,0.175,0.118,-0.984
AngKids,FedUp,0.673,0.702,-0.063,0.999
AngKids,DiffKids,0,0,0.558,0.999
AngKids,PosMoKids,0.851,0.751,-0.036,0.986
Res,Exh,0,0.003,-0.436,-1
Res,Dist,0.049,0.311,0.213,0.987
Res,FedUp,0.288,0.227,-0.162,-1
Res,DiffKids,0.635,0.41,0.085,-0.999
Res,PosMoKids,0.037,0.106,0.255,-0.988
Res,AngKids,0.594,0.83,-0.052,-0.998
SocSup,Exh,0.023,0.152,-0.035,0.993
SocSup,Dist,0.997,0.68,-0.022,-0.987
SocSup,FedUp,0.518,0.023,-0.051,0.993
SocSup,DiffKids,0.989,0.208,0.06,0.993
SocSup,PosMoKids,0.455,0.663,0.083,0.988
SocSup,AngKids,0.523,0.503,0.008,0.991
SocSup,Res,0.049,0.066,-0.218,-0.993
