v1,v2,P 1->2,P 1<-2,pcor,ran_SD_pcor,cor,ran_SD_cor
Dist,Exh,0.08,0.066,0.05,0.045,0.268,0.115
FedUp,Exh,0,0,0.295,0.105,0.526,0.089
FedUp,Dist,0.021,0.115,0.075,0.14,0.331,0.176
DiffKids,Exh,0,0,0.128,0.052,0.406,0.087
DiffKids,Dist,0.011,0.014,0.073,0.058,0.279,0.126
DiffKids,FedUp,0,0,0.221,0.077,0.484,0.087
PosMoKids,Exh,0.483,0.57,0.019,0.078,-0.181,0.127
PosMoKids,Dist,0,0,-0.545,0.176,-0.59,0.16
PosMoKids,FedUp,0.049,0.135,-0.054,0.077,-0.247,0.104
PosMoKids,DiffKids,0.095,0.108,0.047,0.061,-0.156,0.103
AngKids,Exh,0.009,0.019,0.071,0.053,0.367,0.092
AngKids,Dist,0,0,0.129,0.05,0.324,0.113
AngKids,FedUp,0,0,0.164,0.083,0.45,0.095
AngKids,DiffKids,0,0,0.35,0.101,0.521,0.099
AngKids,PosMoKids,0.968,0.847,0.003,0.057,-0.199,0.096
Res,Exh,0,0,-0.269,0.093,-0.458,0.126
Res,Dist,0.264,0.4,-0.028,0.049,-0.263,0.071
Res,FedUp,0,0,-0.181,0.06,-0.434,0.116
Res,DiffKids,0.136,0.169,-0.045,0.073,-0.313,0.128
Res,PosMoKids,0.005,0.024,0.093,0.11,0.236,0.105
Res,AngKids,0.098,0.13,-0.049,0.073,-0.303,0.106
SocSup,Exh,0.481,0.274,-0.023,0.023,-0.045,0.045
SocSup,Dist,0.178,0.073,-0.041,0.032,-0.045,0.055
SocSup,FedUp,0.924,0.972,-0.002,0.043,-0.035,0.058
SocSup,DiffKids,0.121,0.347,0.037,0.074,-0.012,0.072
SocSup,PosMoKids,0.188,0.162,-0.037,0.048,-0.001,0.06
SocSup,AngKids,0.059,0.053,-0.056,0.063,-0.066,0.054
SocSup,Res,0.991,0.727,0.006,0.074,0.03,0.085
