from,to,lag,fixed,SE,P,ran_SD
Exh,Exh,1,0.089,0.032,0.005,0.058
Exh,Dist,1,-0.002,0.035,0.953,0.124
Exh,FedUp,1,0.061,0.035,0.081,0.084
Exh,DiffKids,1,0.039,0.034,0.26,0.059
Exh,PosMoKids,1,0.007,0.033,0.845,0.103
Exh,AngKids,1,-0.01,0.033,0.765,0.035
Exh,Res,1,-0.063,0.038,0.101,0.136
Exh,SocSup,1,-0.033,0.034,0.34,0.064
Dist,Exh,1,0.045,0.05,0.362,0.193
Dist,Dist,1,0.114,0.036,0.002,0.096
Dist,FedUp,1,-0.002,0.051,0.972,0.196
Dist,DiffKids,1,-0.014,0.044,0.756,0.119
Dist,PosMoKids,1,-0.098,0.04,0.013,0.125
Dist,AngKids,1,0.005,0.049,0.912,0.17
Dist,Res,1,-0.006,0.043,0.888,0.137
Dist,SocSup,1,-0.029,0.046,0.527,0.145
FedUp,Exh,1,0.018,0.039,0.641,0.127
FedUp,Dist,1,0.038,0.029,0.194,0.041
FedUp,FedUp,1,0.089,0.034,0.009,0.056
FedUp,DiffKids,1,0.056,0.041,0.165,0.126
FedUp,PosMoKids,1,-0.027,0.031,0.394,0.069
FedUp,AngKids,1,0.066,0.041,0.108,0.134
FedUp,Res,1,-0.032,0.033,0.328,0.075
FedUp,SocSup,1,0.027,0.041,0.504,0.132
DiffKids,Exh,1,0.066,0.038,0.079,0.133
DiffKids,Dist,1,0.043,0.034,0.209,0.126
DiffKids,FedUp,1,0.094,0.035,0.007,0.091
DiffKids,DiffKids,1,0.098,0.04,0.014,0.14
DiffKids,PosMoKids,1,-0.007,0.035,0.844,0.132
DiffKids,AngKids,1,0.034,0.034,0.323,0.074
DiffKids,Res,1,-0.015,0.03,0.624,0.059
DiffKids,SocSup,1,0.023,0.033,0.49,0.059
PosMoKids,Exh,1,0.023,0.045,0.61,0.163
PosMoKids,Dist,1,-0.144,0.04,0,0.148
PosMoKids,FedUp,1,-0.014,0.045,0.757,0.146
PosMoKids,DiffKids,1,0.017,0.048,0.718,0.171
PosMoKids,PosMoKids,1,0.102,0.038,0.008,0.113
PosMoKids,AngKids,1,-0.037,0.043,0.389,0.115
PosMoKids,Res,1,0.104,0.038,0.006,0.088
PosMoKids,SocSup,1,0.026,0.043,0.546,0.116
AngKids,Exh,1,-0.009,0.039,0.811,0.148
AngKids,Dist,1,-0.01,0.032,0.745,0.114
AngKids,FedUp,1,-0.025,0.033,0.455,0.09
AngKids,DiffKids,1,0.048,0.033,0.147,0.072
AngKids,PosMoKids,1,0.022,0.027,0.417,0.046
AngKids,AngKids,1,0.046,0.035,0.197,0.1
AngKids,Res,1,0.002,0.029,0.939,0.051
AngKids,SocSup,1,-0.005,0.031,0.88,0.035
Res,Exh,1,-0.049,0.039,0.207,0.148
Res,Dist,1,0.057,0.03,0.061,0.082
Res,FedUp,1,0.006,0.032,0.838,0.055
Res,DiffKids,1,0.012,0.036,0.732,0.1
Res,PosMoKids,1,-0.037,0.031,0.238,0.089
Res,AngKids,1,-0.009,0.033,0.794,0.061
Res,Res,1,0.019,0.033,0.568,0.094
Res,SocSup,1,-0.012,0.035,0.742,0.09
SocSup,Exh,1,-0.034,0.025,0.17,0.064
SocSup,Dist,1,0.002,0.028,0.951,0.113
SocSup,FedUp,1,-0.016,0.025,0.533,0.052
SocSup,DiffKids,1,0.005,0.027,0.85,0.065
SocSup,PosMoKids,1,0.012,0.024,0.607,0.069
SocSup,AngKids,1,-0.001,0.026,0.954,0.057
SocSup,Res,1,0.012,0.03,0.692,0.114
SocSup,SocSup,1,0.089,0.037,0.015,0.16
